Vg,Vd,Id
0.34,0.11,2.2238e-06
0.35,0.11,2.645e-06
0.36,0.11,3.1075e-06
0.37,0.11,3.609e-06
0.38,0.11,4.1465e-06
0.39,0.11,4.7165e-06
0.4,0.11,5.315e-06
0.41,0.11,5.9379e-06
0.42,0.11,6.5808e-06
0.43,0.11,7.2393e-06
0.44,0.11,7.909e-06
0.45,0.11,8.5856e-06
0.46,0.11,9.265e-06
0.47,0.11,9.9435e-06
0.48,0.11,1.06177e-05
0.49,0.11,1.12845e-05
0.5,0.11,1.19413e-05
0.51,0.11,1.25858e-05
0.52,0.11,1.32163e-05
0.53,0.11,1.38313e-05
0.54,0.11,1.44298e-05
0.55,0.11,1.50111e-05
0.56,0.11,1.55745e-05
0.57,0.11,1.612e-05
0.58,0.11,1.66474e-05
0.59,0.11,1.71567e-05
0.6,0.11,1.76482e-05
0.61,0.11,1.81223e-05
0.62,0.11,1.85792e-05
0.63,0.11,1.90194e-05
0.64,0.11,1.94433e-05
0.65,0.11,1.98515e-05
0.66,0.11,2.02445e-05
0.67,0.11,2.06229e-05
0.68,0.11,2.09871e-05
0.69,0.11,2.13378e-05
0.7,0.11,2.16754e-05
0.71,0.11,2.20005e-05
0.72,0.11,2.23136e-05
0.73,0.11,2.26152e-05
0.74,0.11,2.29059e-05
